"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YDL246C",10.0931090697377,0.280856968875494,0.452737497301155,0.620352788425369,0.535025547760057,0.665633530755393
"YDL243C",217.311967953562,0.686653620121577,0.0970882250539709,7.07247062905795,1.52199205816389e-12,1.98707887434385e-11
"YDR387C",306.167375494726,0.193414214447511,0.0899345115928359,2.1506117175925,0.0315068596778625,0.0712165707685144
"YDL094C",8.84704879256017,0.333365454988713,0.478661363984479,0.696453651938205,0.486144773295723,0.62084817696418
"YDR438W",209.195626099286,0.174173244694479,0.11492388272415,1.51555308231749,0.129632398293654,0.230122085161595
"YDR523C",59.4086535513504,-0.0851584954333273,0.183620837743276,-0.463773591711793,0.642809965579751,0.756233443620479
"YDR542W",0.364639202637494,1.06796990790022,2.506689091119,0.426048013566563,0.670072860147875,0.775537282405268
"YDR492W",1127.40673755542,0.231010637856532,0.0459644332484258,5.02585633130685,5.01191008134967e-07,3.43239902540917e-06
"YDR018C",458.533468486719,0.480397725768154,0.0695913188673199,6.90312719441431,5.08700424768273e-12,6.33844597705563e-11
"YDL189W",552.285539314777,-0.0811642929778499,0.061009917939828,-1.3303458801223,0.183404337125072,0.301601975655403
"YDR508C",409.081875015895,-0.586701927050444,0.0740463444983582,-7.92344214998287,2.31024267429497e-15,3.71111041356109e-14
"YDR462W",397.433072550838,0.500866221782798,0.0741242725066318,6.75711484032422,1.40766616467776e-11,1.68376576711611e-10
"YDR175C",477.617562765784,-0.00316724186007941,0.0657821036593509,-0.0481474699635756,0.961598714488639,0.977844599195774
"YDR186C",2681.90594078384,-0.182277943355984,0.0283428219869787,-6.43118541406096,1.26612599964869e-10,1.40886074731707e-09
"YDR150W",1834.73348710646,-0.0784357989342118,0.034749157712006,-2.25720000422087,0.023995580163534,0.0568161244190036
"YDR243C",133.661869641959,-0.0910758314869055,0.123406469536164,-0.738015047584002,0.460505305124519,0.598602096347897
"YDL182W",1041.34629994437,0.129723673631786,0.0441260027820611,2.93984647266811,0.00328374910247202,0.0102581942886566
