"","log2FoldChange","padj"
"YDR380W",12.006145698767,2.08282036155342e-31
"YBR214W",0.327935603183604,3.98423481437896e-31
"YDL131W",-0.353216159004998,5.68117525817911e-31
"YGR256W",0.333241472936163,6.30214418610635e-31
"YDL049C",0.683206146652934,6.74083923446008e-31
"YOR222W",-0.56387278707227,1.25601816988659e-30
"YNR001C",0.214714873672189,2.64435663677447e-30
"YLR327C",0.13393019804411,6.87346439018185e-30
"YJR137C",-0.313511962938442,7.66801593476856e-30
"YOR303W",-0.238324086519013,8.27482041511819e-30
"YKL175W",0.488892407096191,1.29374411992544e-29
"YIR016W",0.493749161646575,1.47160150641346e-29
"YNL111C",-0.7416215747417,1.64483319282989e-29
"YHR163W",0.654546684232558,2.2278673214746e-29
"YOR009W",-0.939979055466451,2.86381932442228e-29
"YDR214W",0.241876493632234,3.14502634049301e-29
"YHR030C",-0.533610389255986,3.5925441494739e-29
"YFL011W",1.05285392814156,9.60785300812309e-29
"YLL051C",0.697035236314303,1.07563278364821e-28
"YIL033C",0.312609336129065,1.21566866578607e-28
"YNL002C",-0.630072507848711,2.11028643330118e-28
"YLL055W",-0.760424588078563,2.29873692257073e-28
"YGL180W",-0.492735576791983,2.44019894902889e-28
"YGR128C",-0.749296611282715,2.44019894902889e-28
"YPL057C",-0.485404103188897,2.44248811123642e-28
"YLR028C",0.326153177010948,4.18920797639606e-28
"YLR325C",-0.456436445359637,4.6575996670988e-28
"YPL212C",-0.713535845752318,4.90680370494529e-28
"YML054C",0.241555682186003,1.47479578230014e-27
"YDR171W",0.163397098544251,2.22530338064942e-27
"YBL015W",0.325029321067302,2.22530338064942e-27
"YGR088W",0.522447816793106,3.44804685655904e-27
"YBR269C",0.557888183484213,4.00659321167294e-27
"YOR084W",0.656835629890781,6.56591952279269e-27
"YDL124W",0.233698647438153,7.11444670388848e-27
"YBR046C",-0.397566656977359,8.38876477660495e-27
"YMR056C",0.742642226403743,1.08831546669119e-26
"YER006W",-0.632428224938816,2.51148441752189e-26
"YDR055W",-0.275202487379744,2.71521281832978e-26
"YNL112W",-0.67116884516496,3.5677924568968e-26
"YOL123W",0.371250155726807,4.14205794316154e-26
"YMR315W",0.391352270028789,4.78360954207279e-26
"YDR382W",-0.647714680634298,6.46326680584912e-26
"YER054C",0.331910134119335,9.93106358066156e-26
"YNL134C",0.455319786957693,1.02251783122149e-25
"YJL101C",0.400102345535665,1.1337671637221e-25
"YIL035C",-0.556338793647164,1.17155451871364e-25
"YOR195W",-0.707688076080305,2.15551340763368e-25
"YIL116W",-0.402750449445074,2.87548876057577e-25
"YER178W",0.387360239258,3.40028308671619e-25
"YNR034W-A",0.606260383114185,3.78768797424271e-25
"YJL026W",-0.359222425003515,6.91123773442523e-25
"YOR180C",0.624059213294607,8.18119453114529e-25
"YMR322C",0.810360066234757,9.33982782221638e-25
"YDL048C",0.485923524074716,1.24684001469229e-24
"YCR093W",-0.516724606108669,1.78355252552849e-24
"YDR032C",0.368702971797943,1.96885319631311e-24
"YBL030C",-0.267405558121237,2.02549752712691e-24
"YKL096W",1.24503558796949,2.72412822239254e-24
"YER052C",-0.35383991346036,3.44524062360798e-24
"YLR134W",5.36188306169205,3.78593467991152e-24
"YLR303W",0.153660736922355,6.39808824784948e-24
"YAL062W",0.612055225850963,7.54977534394226e-24
"YLR354C",0.273369505551084,7.62081008416826e-24
"YGR145W",-0.713496108880013,8.28088824982122e-24
"YPL012W",-0.53904047972948,8.86298436129753e-24
"YLR196W",-0.604656807633051,9.18604835242316e-24
"YDR075W",-0.578479078166286,1.10285668348307e-23
"YNL208W",0.26056276654457,1.17741118857659e-23
"YDR324C",-0.614596985944095,1.69867919006151e-23
"YGR292W",0.608674392029435,3.56407690925231e-23
"YJR027W",0.836331074488132,6.09510028706219e-23
"YDR533C",0.516770701608532,6.58866283699271e-23
"YNL202W",0.505992962709813,9.57762318654729e-23
"YGR043C",0.304419216630554,1.34781432814783e-22
"YOR044W",-0.947253959912694,1.48293409797681e-22
"YDR035W",-0.421294036606797,1.55358941393056e-22
"YML091C",-0.407587684088876,1.79713239735557e-22
"YPR016W-A",-2.39294729193308,1.92638050974662e-22
"YGL202W",-0.343395148768014,2.15660098453112e-22
"YNL131W",-0.487417077113979,2.32056334873718e-22
"YFL030W",0.304692753716058,2.48917852013084e-22
"YCR004C",0.322045738512044,2.54925467379927e-22
"YDL147W",-0.281685135142006,3.00482872964434e-22
"YNL195C",0.517111487931461,3.17891971773042e-22
"YHR196W",-0.747799862188412,3.68521487162494e-22
"YNL192W",-0.362420720183856,4.5939852386672e-22
"YMR229C",-0.456702837370261,5.13350071023354e-22
"YER020W",0.375498969281357,5.76308207189319e-22
"YNR056C",0.914809656741703,6.75313516203705e-22
"YOL164W",0.623568795212371,6.85292617496545e-22
"YDL171C",-0.305709720693066,7.72745153866155e-22
"YGR180C",-0.204275037047287,7.72745153866155e-22
"YNL155W",-0.515012627702953,1.05149265957238e-21
"YKL107W",0.51034377365046,1.05954678893473e-21
"YOR389W",0.684759762400545,1.15383358614149e-21
"YGL071W",0.576761251897326,2.19139848420087e-21
"YDL039C",-0.718267823795376,2.59581445109204e-21
"YKR058W",0.463768119643328,2.94879449737476e-21
"YGR049W",-0.421969304746731,4.25391154211123e-21
"YGL080W",-0.434070175623348,4.59784374807179e-21
"YOL077C",-0.552385572212384,6.54500991333248e-21
"YGL037C",0.232737247487737,6.80317961427372e-21
"YKL104C",-0.285026314358264,7.3684894101e-21
"YIR034C",-0.384458604332837,9.75661946686936e-21
"YDL110C",0.25353458075729,1.31379652821032e-20
"YDR168W",-0.331539762834623,1.65546049457235e-20
"YBR083W",0.433935307127182,1.82699632584608e-20
"YLR294C",-0.528538603185766,2.31572903387646e-20
"YDR536W",0.772129244329386,2.32321380852964e-20
"YNR050C",-0.333415307330075,2.48431822735826e-20
"YER042W",-0.593990648215447,3.13557076305753e-20
"YKL150W",0.232886912700867,3.28378676869394e-20
"YOR341W",-0.503018058345567,4.39849727751682e-20
"YNL110C",-0.607144521639612,4.44108341340638e-20
"YNL239W",0.408815797886478,5.69683364724728e-20
"YKR074W",-0.757781922559613,8.51606688476619e-20
"YCL026C-B",1.09025979789579,8.92188573968076e-20
"YIL162W",0.234058934835037,1.39052482849164e-19
"YFR017C",0.417348083182798,2.02571910369765e-19
"YIL101C",0.218970123735716,2.07598187476236e-19
"YCL048W-A",0.556859754948242,2.3862341460857e-19
"YJL055W",0.368974091907224,2.89222921487998e-19
"YBR207W",0.444177706332914,2.97269218427659e-19
"YOR206W",-0.563606483462568,3.70943923228288e-19
"YPL231W",-0.20859279816218,4.05068638628811e-19
"YGR271C-A",-1.17399454099445,4.15012703592954e-19
"YLR390W-A",0.218067534640496,4.8820248593269e-19
"YOR328W",0.465865304953835,4.91165583143889e-19
"YER056C",-0.423462226620497,5.09445120294239e-19
"YLL008W",-0.544490577137843,5.40347178923273e-19
"YPL052W",-1.31923282624248,7.89769760732805e-19
"YDR059C",0.398648762246623,7.96435670469831e-19
"YML042W",0.224514695132653,9.28904592945512e-19
"YMR136W",0.245402018477079,9.80445179245697e-19
"YGR218W",-0.344209842451605,1.04375743930998e-18
"YCR079W",0.491392397477964,2.33601646754725e-18
"YEL021W",0.547080786415948,2.81042780065701e-18
"YOL045W",-0.622506130101398,3.03060205280856e-18
"YJL045W",0.358129151781119,3.56748275023583e-18
"YBR196C",0.219979374181726,4.17449463077368e-18
"YOR243C",-0.599176552334041,4.21554838877754e-18
"YDR298C",0.295350483510888,4.5847187454952e-18
"YDL197C",0.36607670547186,5.19339929833729e-18
"YER103W",0.178578283735286,5.7525663867443e-18
"YHR072W",-0.354482611573809,6.28249385226087e-18
"YPL016W",-0.470174891238847,7.59130004205314e-18
"YHR039C",-0.327585938703068,8.89345470300699e-18
"YPL277C",1.1452415802111,8.99786478732968e-18
"YKL015W",-0.405198245413079,1.10038139410637e-17
"YGL184C",-0.490817701649274,1.10892969781665e-17
"YFL016C",0.256639956454267,1.43663553733191e-17
"YNL075W",-0.597533815082682,1.48810468546912e-17
"YOR327C",0.564061613721573,2.34082413717396e-17
"YER150W",0.399844756896042,2.8651758257568e-17
"YLR044C",0.145874561892537,3.31311206949569e-17
"YGL078C",-0.56169882010818,3.43609183618781e-17
"YJR064W",-0.368524064982562,3.7636876509655e-17
"YLR274W",-0.474525593844111,4.10350327961336e-17
"YPL146C",-0.713956231167294,4.13934090593985e-17
"YPL093W",-0.417699236783494,5.47419908189982e-17
"YJR045C",0.172882937834378,7.27132632512053e-17
"YPL171C",0.508827868577,7.57792959770471e-17
"YIL043C",0.384376553812746,7.57792959770471e-17
"YLR175W",-0.394507031746197,1.03767585892251e-16
"YKR076W",0.366804717093153,1.10371383480381e-16
"YMR323W",0.74084488160342,1.17011000775669e-16
"YDL204W",0.18740771785009,1.23388834075497e-16
"YAL060W",0.372721989858489,1.48737536200493e-16
"YDR385W",0.392738730474523,1.50343329241153e-16
"YJL153C",-0.251257370241917,1.81952600484985e-16
"YNL069C",-0.321317672159115,1.95611849690838e-16
"YDR529C",0.185070302848338,1.97215830019733e-16
"YGL141W",-0.463563037836396,2.0989981205911e-16
"YOR348C",0.306791842511301,2.16595096897233e-16
"YNL270C",1.04496654402723,2.20147683267239e-16
"YNL030W",0.456266762576539,2.41344432207405e-16
"YEL017W",0.676459186514645,2.46061328732792e-16
"YPR075C",0.346095146923559,2.58739624547835e-16
"YMR260C",-0.528463824410111,2.59694557027833e-16
"YKL163W",-0.212231269151798,2.69336338729664e-16
"YDR452W",0.288751735184972,3.09921064609505e-16
"YOR028C",0.65583408662269,3.38048104690794e-16
"YLL028W",0.66578945249985,3.77662538820826e-16
"YNL321W",0.413393804395468,4.68404875225119e-16
"YOR042W",0.336120530543937,4.87615845907922e-16
"YLR106C",-0.35040929105111,5.64069077499368e-16
"YOR304W",-0.444326642272747,5.6458013997094e-16
"YFL024C",-0.361834637391181,6.5710792187956e-16
"YMR128W",-0.576040215061774,6.75557840359804e-16
"YDR091C",-0.463926397935126,6.92757081566695e-16
"YLR223C",-0.499916238892827,8.19435657247537e-16
"YBL099W",0.211926094367153,8.37165166878314e-16
"YKR097W",-0.642598613552203,9.52726383188114e-16
"YGR282C",0.227433269514955,1.14316144150301e-15
"YLR034C",0.53961771863616,1.28426147053421e-15
"YDR223W",0.436577705416274,2.1395519473041e-15
"YLR058C",-0.295084171983367,2.30815834689518e-15
"YLR276C",-0.487296124844696,2.50369451036301e-15
"YDR226W",0.417434500853828,2.59318581232556e-15
"YBR286W",0.175831892652192,2.71107090654996e-15
"YHL042W",0.847990957011197,2.80132199970134e-15
"YCL064C",-1.73137389209457,3.70438752471697e-15
"YOR120W",0.414535727961444,3.94749793069333e-15
"YGR090W",-0.430117959850688,4.29284966433969e-15
"YOR273C",0.244444999562278,4.93783507944511e-15
"YPR074C",0.276434789465041,5.20838608596244e-15
"YPL020C",-0.671559404453388,6.31932137631764e-15
"YDL181W",0.428752922328744,7.39245133008512e-15
"YKL029C",-0.391280756194144,8.35625015473037e-15
"YNL052W",0.197812036200763,9.03636863797189e-15
"YER175C",0.487454435427833,1.0851131297515e-14
"YPL247C",0.507645821549002,1.09820730353097e-14
"YDL133C-A",-0.461088540401729,1.2808461271079e-14
"YIL078W",-0.320057055346174,1.44613903808159e-14
"YLR149C-A",-2.1381410333517,1.73350563771607e-14
"YJL088W",-0.351319083406225,1.73350563771607e-14
"YER112W",-0.394764747686015,1.87912320668392e-14
"YLR284C",0.346240193984688,2.08899405521324e-14
"YHR071W",-0.395838282087792,2.10699595146837e-14
"YJL068C",0.428963377392028,2.23907073854668e-14
"YCR005C",0.270128168513724,2.4249142009469e-14
"YPR010C",-0.40255204561344,2.45503221000223e-14
"YGL026C",-0.330435690800709,2.73512971916575e-14
"YLR249W",-0.167732551479749,2.91111283772784e-14
"YJR008W",0.259166185985344,3.0907498572468e-14
"YJR094C",-0.521153997624285,3.32900855981489e-14
"YDR508C",-0.586701927050444,3.71111041356109e-14
"YPR010C-A",-0.253135289982887,3.78812570861628e-14
"YHR099W",-0.485850577233898,4.69384243812995e-14
"YGR052W",0.701263225304259,5.48952838452643e-14
"YGL095C",-0.467140951338863,5.83535682243723e-14
"YMR309C",-0.367142567845153,5.9421176707906e-14
"YKL014C",-0.657437565026059,6.24680816880871e-14
"YKL010C",-0.340128568471648,6.41638958437563e-14
"YLL041C",0.170230464739551,7.68004238368378e-14
"YNL119W",-0.806522093897343,7.84210881875929e-14
"YGR162W",-0.297537130553515,8.10481362150661e-14
"YIL120W",0.680467395641325,8.36306318215226e-14
"YOL109W",0.223636779838063,8.43430082268974e-14
"YIL091C",-0.565525834440433,9.44566693640833e-14
"YML085C",0.360403336070854,9.60032073074124e-14
"YDR077W",-0.108426894700698,9.6672561379229e-14
"YMR251W",0.973468588926751,9.68761334430728e-14
"YLL061W",0.299890365805787,1.04920986988628e-13
"YIL121W",1.26897132674137,1.04920986988628e-13
"YDR502C",-0.292971450629809,1.06266655711215e-13
"YER133W",-0.342215114429356,1.10859823468712e-13
"YPR159W",-0.339487597154118,1.12165481030616e-13
"YDL214C",0.351563577254564,1.13465530604264e-13
"YDR371W",-0.622180683741876,1.14797293129048e-13
"YNL079C",0.228635873796794,1.2932311011489e-13
"YJL109C",-0.611408288226359,1.31371732498122e-13
"YLR361C-A",-0.876764751618081,1.39222122696879e-13
"YOR226C",0.705504475531595,1.48070447625621e-13
"YCR068W",0.430069983796283,1.48102553584711e-13
"YML052W",0.417603297543828,2.29680493531218e-13
"YMR118C",0.440118361043424,2.50419495442285e-13
"YDR457W",-0.36776203374021,2.62042629367509e-13
"YDL144C",0.379092441282598,2.80738573985228e-13
"YHR066W",-0.550834897155915,2.84763863041662e-13
"YLR310C",-0.274616353883435,3.10772256392003e-13
"YER001W",-0.485683252024026,3.8037176905266e-13
"YLR314C",-0.371021722234876,4.33255999773655e-13
"YDR504C",-1.15686535276855,5.38348326023863e-13
"YMR217W",-0.385651154160069,5.45036719546558e-13
"YLR164W",0.615471050746989,6.18144217717997e-13
"YBL029C-A",-0.47792691457955,6.86140911878254e-13
"YML120C",0.174509901333128,7.93800003022207e-13
"YPL156C",0.340747057688629,8.2025540681284e-13
"YDL052C",0.49631075044458,1.26190924270622e-12
"YPR127W",0.357339085835861,1.3496528843424e-12
"YDR119W-A",0.427875710666922,1.45845570472202e-12
"YPL125W",-0.379459614772573,1.46479697042712e-12
"YOL077W-A",0.207207726030495,1.4984997906804e-12
"YGL021W",0.343459800883947,1.4984997906804e-12
"YJR096W",0.358571117917107,1.62461286729574e-12
"YLR227W-B",0.527358835168799,1.78042497322279e-12
"YHR047C",-0.397859843494428,2.13059763174303e-12
"YOL059W",0.295335906807859,2.16625668500571e-12
"YJR155W",0.511892532454664,2.18784185356181e-12
"YDR465C",-0.390954819715114,2.19953900131926e-12
"YKL009W",-0.470096939030104,2.28240959458454e-12
"YBL076C",-0.313841201173463,2.46384460807277e-12
"YBL054W",-0.412741827829587,2.86341797060898e-12
"YKR066C",0.284024763253228,3.13773538292699e-12
"YLR043C",0.411658371113817,3.1984367264308e-12
"YOL006C",-0.307753648732566,3.89257643504481e-12
"YMR114C",0.285526479900285,3.89877014227203e-12
"YKL050C",0.369913163782828,4.03205997453603e-12
"YLR438W",0.528143719261642,4.17596503747035e-12
"YLR259C",0.127212808616019,4.25741647090527e-12
"YCL054W",-0.421136660754901,4.32983069871937e-12
"YBR038W",0.492942563450834,4.66860045665188e-12
"YLL023C",0.574702411247424,5.31009384386429e-12
"YDL130W-A",0.319686356501638,5.58805607077853e-12
"YGR124W",-0.283350638297072,5.71648004895131e-12
"YBR173C",0.26743916445509,5.74882162210313e-12
"YOR051C",-0.546770098192719,5.83132450425659e-12
"RUF5-2",-2.56953849992653,6.34226985809973e-12
"YJL052W",0.276890844563968,6.35462965563165e-12
"YML103C",-0.450838914252736,6.50232101929254e-12
"YDL014W",-0.366084248708597,6.53215480870339e-12
"YPL117C",-0.255557743261165,7.56514063607066e-12
"YKR081C",-0.473540110613739,8.19417889995699e-12
"YMR105C",0.276501024589253,8.52965947112809e-12
"YER155C",-0.403901268682388,9.55237893257054e-12
"YOR298C-A",0.145867548309272,1.26624054481253e-11
"YGR250C",-0.205651862294954,1.26778607725656e-11
"YDR029W",-1.39657120777561,1.28911047047349e-11
"YDR111C",0.440856583214143,1.30077871422546e-11
"YCL050C",-0.276018422507539,1.34987903376028e-11
"YOR310C",-0.533226896446789,1.39266158827637e-11
"YBR101C",-0.208837037844602,1.51437792685649e-11
"YLR110C",0.144640301105503,1.51846129225816e-11
"YGR253C",-0.323075830646728,1.54404778707827e-11
"YBR212W",0.181100258282553,1.54404778707827e-11
"YKL126W",-0.322777135429838,1.54404778707827e-11
"YHR057C",0.367538970111024,1.61282171468595e-11
"YPR182W",0.656995154317178,1.63482701683744e-11
"YEL009C",0.136292280431936,1.87569707833505e-11
"YDL243C",0.686653620121577,1.98707887434385e-11
"YOR207C",-0.445543799656622,2.37136648446174e-11
"YIL011W",-0.864862290386808,2.44712956371682e-11
"YJL151C",0.410790321801175,2.46017675340828e-11
"YDL195W",0.179541596244958,2.50917254089753e-11
"YMR290C",-0.41283335818515,2.56723106224667e-11
"YKL122C",-0.313734467464906,2.85924557458655e-11
"YAL013W",0.319617468917827,2.86152738806845e-11
"YBR154C",-0.504962909390198,3.24479579382974e-11
"YDR101C",-0.487318543528368,3.6284825908964e-11
"YML126C",-0.262436216954061,3.82944493116823e-11
"YER090W",-0.293296618179587,3.97160966719477e-11
"YPL160W",-0.246938355978134,4.35719908880676e-11
"YOR142W",0.207360131214871,4.41490595132258e-11
"YOL081W",-0.293135962217347,4.64538064532132e-11
"YNL146W",-0.874546128564107,4.92397781456696e-11
"YMR120C",-0.218796327957295,5.1749125771173e-11
"YOR289W",-0.296196270964336,5.21069232896471e-11
"YGR240C",0.194834919978643,5.22226430362955e-11
"YJL016W",-0.407263918926895,5.55912371589286e-11
"YGR157W",-0.350148130564308,5.61645715434778e-11
"RUF5-1",-3.75935936891133,5.6866428415875e-11
"YGL238W",-0.438853433423142,5.88040820904517e-11
"YCR061W",0.479360811173388,6.26157706842519e-11
"YDR018C",0.480397725768154,6.33844597705563e-11
"YJL167W",0.214972710700071,7.16465529315481e-11
"YNL305C",0.346847496869749,7.2369816383152e-11
"YOR340C",-0.478832879309754,8.25606839633209e-11
"YDR476C",0.43512899166679,8.64720041432928e-11
"YGR200C",-0.412744399714058,8.81201284835572e-11
"YAL044C",0.316314542576603,1.01321626463429e-10
"YKL035W",0.310387013249917,1.05347244043161e-10
